kelas,hari,sesi,mata_kuliah
1IA12,rabu,1,ada
1IA12,rabu,2,ada
1IA12,rabu,3,ada
1IA12,rabu,4,
1IA12,kamis,0,ada
1IA12,kamis,1,ada
1IA12,kamis,2,
1IA12,kamis,3,
1IA12,kamis,4,
1IA12,jumat,0,ada
1IA12,jumat,1,ada
1IA12,jumat,2,ada
1IA12,jumat,3,ada
1IA12,jumat,4,
1IA12,sabtu,0,
1IA12,sabtu,1,
1IA12,sabtu,2,
1IA12,sabtu,3,
1IA12,sabtu,4,
1IA13,senin,0,ada
1IA13,senin,1,ada
1IA13,senin,2,ada
1IA13,senin,3,ada
1IA13,senin,4,
1IA13,selasa,0,ada
1IA13,selasa,1,ada
1IA13,selasa,2,ada
1IA13,selasa,3,ada
1IA13,selasa,4,
1IA13,rabu,0,ada
1IA13,rabu,1,ada
1IA13,rabu,2,ada
1IA13,rabu,3,ada
1IA13,rabu,4,
1IA13,kamis,0,
1IA13,kamis,1,ada
1IA13,kamis,2,
1IA13,kamis,3,
1IA13,kamis,4,
1IA13,jumat,0,ada
1IA13,jumat,1,ada
1IA13,jumat,2,ada
1IA13,jumat,3,ada
1IA13,jumat,4,
1IA13,sabtu,0,
1IA13,sabtu,1,ada
1IA13,sabtu,2,
1IA13,sabtu,3,
1IA13,sabtu,4,
1IA14,senin,0,ada
1IA14,senin,1,ada
1IA14,senin,2,ada
1IA14,senin,3,ada
1IA14,senin,4,
1IA14,selasa,0,
1IA14,selasa,1,ada
1IA14,selasa,2,
1IA14,selasa,3,
1IA14,selasa,4,
1IA14,rabu,0,ada
1IA14,rabu,1,ada
1IA14,rabu,2,ada
1IA14,rabu,3,ada
1IA14,rabu,4,
1IA14,kamis,0,ada
1IA14,kamis,1,ada
1IA14,kamis,2,ada
1IA14,kamis,3,
1IA14,kamis,4,
1IA14,jumat,0,ada
1IA14,jumat,1,ada
1IA14,jumat,2,ada
1IA14,jumat,3,ada
1IA14,jumat,4,
1IA14,sabtu,0,ada
1IA14,sabtu,1,
1IA14,sabtu,2,
1IA14,sabtu,3,
1IA14,sabtu,4,
1IA15,senin,0,
1IA15,senin,1,ada
1IA15,senin,2,ada
1IA15,senin,3,ada
1IA15,senin,4,
1IA15,selasa,0,ada
1IA15,selasa,1,ada
1IA15,selasa,2,
1IA15,selasa,3,
1IA15,selasa,4,
1IA15,rabu,0,ada
1IA15,rabu,1,ada
1IA15,rabu,2,ada
1IA15,rabu,3,ada
1IA15,rabu,4,
1IA15,kamis,0,ada
1IA15,kamis,1,ada
1IA15,kamis,2,
1IA15,kamis,3,
1IA15,kamis,4,
1IA15,jumat,0,ada
1IA15,jumat,1,ada
1IA15,jumat,2,ada
1IA15,jumat,3,ada
1IA15,jumat,4,
1IA15,sabtu,0,ada
1IA15,sabtu,1,ada
1IA15,sabtu,2,ada
1IA15,sabtu,3,
1IA15,sabtu,4,
1IA16,senin,0,ada
1IA16,senin,1,ada
1IA16,senin,2,ada
1IA16,senin,3,
1IA16,senin,4,
1IA16,selasa,0,
1IA16,selasa,1,ada
1IA16,selasa,2,ada
1IA16,selasa,3,ada
1IA16,selasa,4,
1IA16,rabu,0,ada
1IA16,rabu,1,ada
1IA16,rabu,2,ada
1IA16,rabu,3,ada
1IA16,rabu,4,
1IA16,kamis,0,ada
1IA16,kamis,1,ada
1IA16,kamis,2,
1IA16,kamis,3,
1IA16,kamis,4,
1IA16,jumat,0,ada
1IA16,jumat,1,ada
1IA16,jumat,2,ada
1IA16,jumat,3,ada
1IA16,jumat,4,
1IA16,sabtu,0,ada
1IA16,sabtu,1,ada
1IA16,sabtu,2,ada
1IA16,sabtu,3,
1IA16,sabtu,4,
1IA17,senin,0,
1IA17,senin,1,
1IA17,senin,2,ada
1IA17,senin,3,ada
1IA17,senin,4,
1IA17,selasa,0,ada
1IA17,selasa,1,ada
1IA17,selasa,2,ada
1IA17,selasa,3,ada
1IA17,selasa,4,
